Year,Month,EnergyUse,Temp,Humidity
2019,1,175367.66,32.39677419,61.79677419
2019,2,147758.54,37.16071429,59.975
2019,3,114338.28,40.75483871,58.38064516
2019,4,77429.1,55.5,63.42
2019,5,63782.04,62.6,74.48709677
2019,6,55989.36,71.07,69.29666667
2019,7,72971.64,77.99354839,72.3483871
2019,8,67512.48,74.10967742,74.31935484
2019,9,57971.34,68.81666667,71.45666667
2019,10,64553.58,58.50322581,74.18387097
2019,11,140646.24,41.19,63.64666667
2019,12,179422.74,36.75806452,73.32580645
2020,1,153715,37.43870968,65.84516129
2020,2,143228,38.64827586,64.99655172
2020,3,97747,46.42903226,64.01290323
2020,4,73187,49.25,62.03666667
2020,5,51926,59.36451613,63.68387097
2020,6,54689,71.91,66.49333333
2020,7,78998,78.95483871,71.12258065
2020,8,72167,75.2,75.65483871
2020,9,58636,66.49666667,74.58666667
2020,10,66096,56.2483871,80.4
2020,11,100885,49.47333333,69.41333333
2020,12,177625,36.52580645,71.17419355
2021,1,203444.82,33.29032258,65.21935484
2021,2,198212.48,32.1,69.1
2021,3,117928.69,44.70645161,56.30322581
2021,4,68923.77,52.96333333,58.07333333
2021,5,49003.31,61.00322581,60.9516129
2021,6,57021.35,72.37,72.64
2021,7,68648,75.41612903,76.23870968
2021,8,71415.21,75.68709677,77.89354839
2021,9,50380.7,68.46666667,76.48666667
2021,10,52687.51,60.88387097,81.33548387
2021,11,133729.77,43.43666667,67.75333333
2021,12,161278.16,41.73870968,68.91290323
2022,1,246721.43,28.5483871,64.3483871
2022,2,173370.08,35.79642857,65.375
2022,3,119456.11,44.28064516,61.66129032
2022,4,73825.42,51.08,59.03333333
2022,5,56162.52,63.23225806,72.13225806
2022,6,55952.84,70.27333333,67.7
2022,7,83748,78.71290323,65.59677419
2022,8,82487,76.95483871,67.70967742
2022,9,59212,67.15,70.74333333
2022,10,72656,53.59677419,76.59354839
2022,11,110000,47.42333333,67.38666667
2022,12,169642,35.52580645,68.9483871
2023,1,149577,40.86129032,72.30322581
2023,2,131414,39.08571429,62.93571429
2023,3,124701,42.49354839,60.4516129
2023,4,61148,55.56,63.07
2023,5,50632,60.26129032,58.45806452
2023,6,60271,68.05666667,66.91333333
2023,7,85067,76.8516129,74.09677419
2023,8,70279,72.87741935,72.99032258
2023,9,59983,67.25333333,77.31
2023,10,70668,57.55806452,75.0483871
2023,11,126884,43.15,65.31333333
2023,12,154293,41.30645161,74.35806452
